instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q207691,theremin,http://commons.wikimedia.org/wiki/Special:FilePath/Etherwave%20Theremin%20Kit.jpg
http://www.wikidata.org/entity/Q207821,hurdy-gurdy,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Maurizio%20-%20Museo%20della%20Musica%20in%20Venice%20-%20Ghironda%201850%20.jpg
http://www.wikidata.org/entity/Q208421,snare drum,http://commons.wikimedia.org/wiki/Special:FilePath/2006-07-06%20snare%2014.jpg
http://www.wikidata.org/entity/Q213100,tabla,http://commons.wikimedia.org/wiki/Special:FilePath/Instrument%20perkusyjny%20TABLA%20firmy%20Meinl.jpg
http://www.wikidata.org/entity/Q217306,transposing instrument,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20100.%20Psalm%20Max%20Reger.jpg
http://www.wikidata.org/entity/Q218802,pan flute,http://commons.wikimedia.org/wiki/Special:FilePath/Pan%20flute%20Gibonus%20FP-12.jpg
http://www.wikidata.org/entity/Q220971,marimba,http://commons.wikimedia.org/wiki/Special:FilePath/Marimba-Antonko-AMC12.jpg
http://www.wikidata.org/entity/Q229205,sitar,http://commons.wikimedia.org/wiki/Special:FilePath/Sitar3.jpg
http://www.wikidata.org/entity/Q230471,zurna,http://commons.wikimedia.org/wiki/Special:FilePath/Zournas.jpg
http://www.wikidata.org/entity/Q79982485,Side-Blown Trumpet,http://commons.wikimedia.org/wiki/Special:FilePath/Equatorial%20Africa%2C%20Cameroon%3B%20Fang%2C%2019th%20century%20-%20Side-Blown%20Trumpet%20-%201998.93%20-%20Cleveland%20Museum%20of%20Art.jpg
http://www.wikidata.org/entity/Q80075108,Oliphant (Side-Blown Trumpet),http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20%28most%20likely%29%2C%20Cabinda%2C%20or%20-%20Oliphant%20%28Side-Blown%20Trumpet%29%20-%202010.448%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q80871854,Kravik lyre,http://commons.wikimedia.org/wiki/Special:FilePath/NF.1904-0194.jpg
http://www.wikidata.org/entity/Q104413030,Goqing,http://commons.wikimedia.org/wiki/Special:FilePath/Goqing%20MET%20DP216549.jpg
http://www.wikidata.org/entity/Q115298896,komet,http://commons.wikimedia.org/wiki/Special:FilePath/Komet%20in%20Siak.JPG
http://www.wikidata.org/entity/Q116827154,Ọjà (flute),http://commons.wikimedia.org/wiki/Special:FilePath/Oja.jpg
http://www.wikidata.org/entity/Q117061610,Amos,http://commons.wikimedia.org/wiki/Special:FilePath/Joe%20Bonamassa%202-18-23%20Riverside%20Theatre%20in%20Milwaukee.jpg
http://www.wikidata.org/entity/Q117337764,mashak,http://commons.wikimedia.org/wiki/Special:FilePath/Mashak%2C%20Indian%20Bagpipe.jpg
http://www.wikidata.org/entity/Q117337774,turhi,http://commons.wikimedia.org/wiki/Special:FilePath/Turhi%2C%20short%20trumpet.jpg
http://www.wikidata.org/entity/Q117337793,Plate Tarang,http://commons.wikimedia.org/wiki/Special:FilePath/Plate%20Tarang.jpg
http://www.wikidata.org/entity/Q117337798,poongi,http://commons.wikimedia.org/wiki/Special:FilePath/Poongi%2C%20Jaipur.jpg
http://www.wikidata.org/entity/Q117337804,bigul,http://commons.wikimedia.org/wiki/Special:FilePath/Horn%20Bigul%2C%20Jaipur.jpg
http://www.wikidata.org/entity/Q117337822,Types of Sarangi,http://commons.wikimedia.org/wiki/Special:FilePath/Types%20of%20Sarangi.jpg
http://www.wikidata.org/entity/Q241337,shamisen,http://commons.wikimedia.org/wiki/Special:FilePath/ShamisenBuskerPittStreetSydney.JPG
http://www.wikidata.org/entity/Q243998,bongo drum,http://commons.wikimedia.org/wiki/Special:FilePath/Bongo.jpg
http://www.wikidata.org/entity/Q258896,banjo,http://commons.wikimedia.org/wiki/Special:FilePath/Bluegrass%20banjo.png
http://www.wikidata.org/entity/Q266675,bass flute,http://commons.wikimedia.org/wiki/Special:FilePath/Paas%20floote.jpg
http://www.wikidata.org/entity/Q270200,conga,http://commons.wikimedia.org/wiki/Special:FilePath/2006-06-03%20Congas1.JPG
http://www.wikidata.org/entity/Q289037,koto,http://commons.wikimedia.org/wiki/Special:FilePath/Koto%20by%20Fumie%20Hihara%202016.png
http://www.wikidata.org/entity/Q290688,wind machine,http://commons.wikimedia.org/wiki/Special:FilePath/Ravensburg%20Konzerthaus%20Historische%20Klangerzeuger%20Windmaschine.jpg
http://www.wikidata.org/entity/Q302497,mandolin,http://commons.wikimedia.org/wiki/Special:FilePath/Mandolin1.jpg
http://www.wikidata.org/entity/Q322675,bouzouki,http://commons.wikimedia.org/wiki/Special:FilePath/Bouzouki%20tetrachordo.jpg
http://www.wikidata.org/entity/Q324299,aulos,http://commons.wikimedia.org/wiki/Special:FilePath/Banquet%20Euaion%20Louvre%20G467.jpg
http://www.wikidata.org/entity/Q339359,gemshorn,http://commons.wikimedia.org/wiki/Special:FilePath/Gemshorn%20Alt.jpg
http://www.wikidata.org/entity/Q381629,eunuch flute,http://commons.wikimedia.org/wiki/Special:FilePath/Fl%C3%BBte%20a%20l%27%20agnon1.jpg
http://www.wikidata.org/entity/Q382616,flugelhorn,http://commons.wikimedia.org/wiki/Special:FilePath/Chuck%20Mangione%20DSC0042%202.jpg
http://www.wikidata.org/entity/Q389949,imzad,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE%20TROPENMUSEUM%20Langhalsluit%20met%201%20snaar%20TMnr%202760-74.jpg
http://www.wikidata.org/entity/Q390110,vibraslap,http://commons.wikimedia.org/wiki/Special:FilePath/Vibraslap2.jpg
http://www.wikidata.org/entity/Q390570,hornpipe,http://commons.wikimedia.org/wiki/Special:FilePath/Falsterpiben%20Rekonstr.jpg
http://www.wikidata.org/entity/Q395212,agogô,http://commons.wikimedia.org/wiki/Special:FilePath/Modern-Agogo.jpg
http://www.wikidata.org/entity/Q426948,sistrum,http://commons.wikimedia.org/wiki/Special:FilePath/Mostra%20Olearie%20-%20sistro%201010384.JPG
http://www.wikidata.org/entity/Q468776,charango,http://commons.wikimedia.org/wiki/Special:FilePath/Bolivian%20charango%20001.jpg
http://www.wikidata.org/entity/Q500568,Lyra,http://commons.wikimedia.org/wiki/Special:FilePath/Cal%20Band%20en%20route%20to%20Memorial%20Stadium%20for%202008%20Big%20Game%2021.JPG
http://www.wikidata.org/entity/Q512191,melodica,http://commons.wikimedia.org/wiki/Special:FilePath/Melodicas.jpg
http://www.wikidata.org/entity/Q521151,baryton,http://commons.wikimedia.org/wiki/Special:FilePath/Aagrovebaryton.jpg
http://www.wikidata.org/entity/Q524526,shakuhachi,http://commons.wikimedia.org/wiki/Special:FilePath/JapaneseShakuhachiSection.jpg
http://www.wikidata.org/entity/Q537750,djembe,http://commons.wikimedia.org/wiki/Special:FilePath/Djemb%C3%A9%27s.jpg
http://www.wikidata.org/entity/Q539942,phorminx,http://commons.wikimedia.org/wiki/Special:FilePath/939b2.jpg
http://www.wikidata.org/entity/Q541533,wind organ,http://commons.wikimedia.org/wiki/Special:FilePath/Klangspiel%20Waldlehrpfad%20K%C3%B6nigstuhl.JPG
http://www.wikidata.org/entity/Q584967,Lira da braccio,http://commons.wikimedia.org/wiki/Special:FilePath/Lira%20da%20braccio.png
http://www.wikidata.org/entity/Q585969,kora,http://commons.wikimedia.org/wiki/Special:FilePath/Kora%20DSC%200355.JPG
http://www.wikidata.org/entity/Q593995,player piano,http://commons.wikimedia.org/wiki/Special:FilePath/SteinwayWelte1919.jpg
http://www.wikidata.org/entity/Q595730,viola pomposa,http://commons.wikimedia.org/wiki/Special:FilePath/Viola%20Pomposa%20MET%2083993.jpg
http://www.wikidata.org/entity/Q602719,piccolo oboe,http://commons.wikimedia.org/wiki/Special:FilePath/Hautbois%20musette%20bois%20de%20rose%2019%C3%A8me.JPG
http://www.wikidata.org/entity/Q604538,temple block,http://commons.wikimedia.org/wiki/Special:FilePath/Auftaktveranstaltung%20zu%20%E2%80%9EK%C3%B6lner%20retten%20ihr%20Stadtged%C3%A4chtnis%E2%80%9C-8978.jpg
http://www.wikidata.org/entity/Q608926,harmonichord,http://commons.wikimedia.org/wiki/Special:FilePath/Die%20Gartenlaube%20%281860%29%20b%20709.jpg
http://www.wikidata.org/entity/Q623941,spinet,http://commons.wikimedia.org/wiki/Special:FilePath/Spinet%20MET%20mi53.6ab.R.jpg
http://www.wikidata.org/entity/Q628428,slit drums,http://commons.wikimedia.org/wiki/Special:FilePath/TamTam.jpg
http://www.wikidata.org/entity/Q638182,arpeggione,http://commons.wikimedia.org/wiki/Special:FilePath/Arpeggione%20Henning%20Aschauer%201968.png
http://www.wikidata.org/entity/Q655389,cristal baschet,http://commons.wikimedia.org/wiki/Special:FilePath/The%20cristal%20baschet.jpg
http://www.wikidata.org/entity/Q656696,slide whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Flauta%20d%27%C3%A8mbol%20-%20edit.jpg
http://www.wikidata.org/entity/Q665657,citole,http://commons.wikimedia.org/wiki/Special:FilePath/Citole-BritishMuseum-bgw.jpg
http://www.wikidata.org/entity/Q666971,bullroarer,http://commons.wikimedia.org/wiki/Special:FilePath/Bull%20roarers.jpg
http://www.wikidata.org/entity/Q669370,gusle,http://commons.wikimedia.org/wiki/Special:FilePath/Gusle%20Zelovo%20kod%20Sinja%20Juki%C4%87%20260109.jpg
http://www.wikidata.org/entity/Q685206,alphorn,http://commons.wikimedia.org/wiki/Special:FilePath/Alphorn%20player%20in%20Wallis.jpg
http://www.wikidata.org/entity/Q692640,octobass,http://commons.wikimedia.org/wiki/Special:FilePath/Octobasse.jpg
http://www.wikidata.org/entity/Q737520,rebec,http://commons.wikimedia.org/wiki/Special:FilePath/Rebec%20fiddle.jpg
http://www.wikidata.org/entity/Q742168,serpent,http://commons.wikimedia.org/wiki/Special:FilePath/Manifattura%20italiana%2C%20Serpentone%2C%20fine%20sec.%20XVIII.%20Museo%20Civico%20di%20Modena%2C%20foto%20P.%20Terzi.jpg
http://www.wikidata.org/entity/Q742180,viola d'amore,http://commons.wikimedia.org/wiki/Special:FilePath/Viola%20d%27amore.jpg
http://www.wikidata.org/entity/Q743836,ney,http://commons.wikimedia.org/wiki/Special:FilePath/KizNey.jpg
